Loan Type,Encoded Value
"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, Home Equity Loan, and Credit-Builder Loan",552
"Credit-Builder Loan, Home Equity Loan, Not Specified, Auto Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Not Specified, and Payday Loan",424
"Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Auto Loan, Not Specified, Personal Loan, Home Equity Loan, and Home Equity Loan",844
"Home Equity Loan, Personal Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",289
"Payday Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Student Loan",995
"Mortgage Loan, Not Specified, Auto Loan, Mortgage Loan, Personal Loan, Not Specified, Student Loan, Not Specified, and Debt Consolidation Loan",861
"Personal Loan, Student Loan, Student Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Not Specified, Student Loan, and Not Specified",112
"Payday Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",328
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, Student Loan, and Not Specified",589
"Credit-Builder Loan, Mortgage Loan, Student Loan, and Payday Loan",145
"Auto Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",725
"Auto Loan, Payday Loan, Auto Loan, Auto Loan, and Credit-Builder Loan",271
"Home Equity Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",943
"Student Loan, Mortgage Loan, Not Specified, Home Equity Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",982
"Home Equity Loan, Mortgage Loan, Home Equity Loan, Auto Loan, Student Loan, Not Specified, and Mortgage Loan",885
"Payday Loan, Not Specified, Home Equity Loan, Student Loan, Home Equity Loan, Home Equity Loan, and Not Specified",192
"Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",571
"Payday Loan, Auto Loan, Personal Loan, Personal Loan, Student Loan, and Credit-Builder Loan",498
"Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",277
"Auto Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",963
"Mortgage Loan, Credit-Builder Loan, Student Loan, Personal Loan, Student Loan, and Personal Loan",855
"Mortgage Loan, Mortgage Loan, and Mortgage Loan",104
"Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Mortgage Loan, and Personal Loan",980
"Mortgage Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",635
"Not Specified, Credit-Builder Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Home Equity Loan",729
"Payday Loan, Debt Consolidation Loan, and Payday Loan",787
"Home Equity Loan, Home Equity Loan, Personal Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, and Payday Loan",570
"Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Not Specified",810
"Auto Loan, Personal Loan, Mortgage Loan, and Payday Loan",367
"Auto Loan, Credit-Builder Loan, Personal Loan, and Payday Loan",285
"Auto Loan, Student Loan, Personal Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",927
"Auto Loan, Credit-Builder Loan, and Not Specified",203
"Auto Loan, Credit-Builder Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",854
"Not Specified, Not Specified, Auto Loan, Not Specified, Mortgage Loan, and Debt Consolidation Loan",119
"Auto Loan, Student Loan, Personal Loan, Not Specified, Credit-Builder Loan, and Student Loan",443
"Not Specified, Personal Loan, Home Equity Loan, and Mortgage Loan",811
"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Student Loan, and Personal Loan",338
"Debt Consolidation Loan, Student Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Not Specified, Not Specified, and Personal Loan",879
"Not Specified, Personal Loan, Auto Loan, Personal Loan, and Mortgage Loan",456
"Mortgage Loan, Payday Loan, Payday Loan, and Student Loan",798
"Auto Loan, Student Loan, Mortgage Loan, and Auto Loan",243
"Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, Auto Loan, and Home Equity Loan",707
"Mortgage Loan, Payday Loan, Not Specified, Home Equity Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, and Credit-Builder Loan",815
"Auto Loan, Not Specified, Mortgage Loan, and Mortgage Loan",776
"Student Loan, Payday Loan, Student Loan, Personal Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, Mortgage Loan, and Not Specified",711
"Credit-Builder Loan, Payday Loan, Not Specified, Student Loan, Home Equity Loan, and Auto Loan",746
"Home Equity Loan, Payday Loan, Credit-Builder Loan, Not Specified, Personal Loan, Auto Loan, Not Specified, Student Loan, and Credit-Builder Loan",376
"Auto Loan, Credit-Builder Loan, Personal Loan, Payday Loan, Payday Loan, and Auto Loan",200
"Mortgage Loan, Credit-Builder Loan, Home Equity Loan, and Credit-Builder Loan",557
"Personal Loan, Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",622
"Personal Loan, Payday Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Debt Consolidation Loan",180
"Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",883
"Debt Consolidation Loan, Student Loan, Not Specified, Not Specified, Debt Consolidation Loan, Payday Loan, and Payday Loan",331
"Personal Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",958
"Not Specified, Payday Loan, Personal Loan, Auto Loan, and Student Loan",436
"Not Specified, Payday Loan, and Debt Consolidation Loan",402
"Payday Loan, Student Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",448
"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",664
"Student Loan, Personal Loan, Not Specified, Auto Loan, Payday Loan, Personal Loan, Payday Loan, Student Loan, and Not Specified",215
"Payday Loan, Auto Loan, and Mortgage Loan",427
"Payday Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",563
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, and Not Specified",253
"Debt Consolidation Loan, Payday Loan, Personal Loan, Auto Loan, and Auto Loan",768
"Home Equity Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, and Credit-Builder Loan",763
"Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Payday Loan",617
"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, and Home Equity Loan",990
"Credit-Builder Loan, Student Loan, and Home Equity Loan",553
"Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",864
"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, and Credit-Builder Loan",402
"Home Equity Loan, Auto Loan, Mortgage Loan, Not Specified, Student Loan, and Payday Loan",715
"Not Specified, Not Specified, Student Loan, Auto Loan, and Student Loan",336
"Payday Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",111
"Not Specified, Personal Loan, and Personal Loan",965
"Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Home Equity Loan",372
"Credit-Builder Loan, Personal Loan, Auto Loan, Payday Loan, Auto Loan, and Auto Loan",708
"Debt Consolidation Loan, Auto Loan, and Credit-Builder Loan",314
"Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, and Auto Loan",853
"Not Specified, Not Specified, Personal Loan, Not Specified, Personal Loan, Debt Consolidation Loan, and Mortgage Loan",747
"Personal Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",639
"Personal Loan, Mortgage Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",769
"Home Equity Loan, Not Specified, Not Specified, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",522
"Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",163
"Not Specified, Mortgage Loan, Auto Loan, and Auto Loan",950
"Student Loan, Auto Loan, Not Specified, and Student Loan",147
"Not Specified, Home Equity Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Not Specified, and Home Equity Loan",106
"Not Specified, Payday Loan, Home Equity Loan, and Student Loan",946
"Student Loan, Payday Loan, Home Equity Loan, Payday Loan, Auto Loan, and Student Loan",903
"Mortgage Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Auto Loan",518
"Student Loan, Payday Loan, Mortgage Loan, and Auto Loan",102
"Payday Loan, Auto Loan, Credit-Builder Loan, and Student Loan",587
"Student Loan, Student Loan, Student Loan, Personal Loan, Mortgage Loan, and Student Loan",875
"Home Equity Loan, Payday Loan, Credit-Builder Loan, Not Specified, and Home Equity Loan",214
"Credit-Builder Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, and Auto Loan",307
"Payday Loan, Auto Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Not Specified, Not Specified, Auto Loan, and Personal Loan",716
"Student Loan, Personal Loan, Auto Loan, and Personal Loan",785
"Credit-Builder Loan, Student Loan, Credit-Builder Loan, Not Specified, Payday Loan, and Payday Loan",906
"Payday Loan, Debt Consolidation Loan, Personal Loan, Debt Consolidation Loan, and Mortgage Loan",906
"Credit-Builder Loan, Not Specified, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",698
"Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",991
"Home Equity Loan, Payday Loan, and Mortgage Loan",467
"Mortgage Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, and Payday Loan",979
"Mortgage Loan, Mortgage Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",618
"Student Loan, Payday Loan, and Credit-Builder Loan",552
"Home Equity Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",709
"Auto Loan, Student Loan, Home Equity Loan, Payday Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",489
"Auto Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",570
"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Personal Loan",881
"Not Specified, Personal Loan, Not Specified, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",921
"Debt Consolidation Loan, Credit-Builder Loan, Student Loan, and Not Specified",735
"Personal Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",570
"Home Equity Loan, Mortgage Loan, Payday Loan, Student Loan, Not Specified, and Mortgage Loan",979
"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Not Specified",130
"Not Specified, Personal Loan, Home Equity Loan, Student Loan, and Not Specified",924
"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, and Auto Loan",365
"Auto Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, and Personal Loan",273
"Personal Loan, Not Specified, Auto Loan, Home Equity Loan, Mortgage Loan, Personal Loan, and Not Specified",604
"Not Specified, Debt Consolidation Loan, and Home Equity Loan",534
"Student Loan, Student Loan, Student Loan, and Home Equity Loan",479
"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",346
"Debt Consolidation Loan, Not Specified, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",166
"Not Specified, Home Equity Loan, Personal Loan, Payday Loan, Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",590
"Personal Loan, Payday Loan, Not Specified, Personal Loan, Personal Loan, and Mortgage Loan",425
"Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",356
"Home Equity Loan, Home Equity Loan, and Debt Consolidation Loan",230
"Auto Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, Student Loan, Personal Loan, and Home Equity Loan",515
"Student Loan, Payday Loan, Student Loan, Credit-Builder Loan, Debt Consolidation Loan, and Student Loan",191
"Mortgage Loan, Debt Consolidation Loan, Not Specified, Personal Loan, Mortgage Loan, Personal Loan, Auto Loan, Debt Consolidation Loan, and Payday Loan",120
"Not Specified, Payday Loan, Home Equity Loan, and Credit-Builder Loan",130
"Student Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, and Auto Loan",441
"Debt Consolidation Loan, Personal Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, Payday Loan, and Mortgage Loan",589
"Student Loan, Not Specified, Mortgage Loan, Not Specified, Credit-Builder Loan, Student Loan, and Personal Loan",741
"Payday Loan, Auto Loan, and Home Equity Loan",122
"Home Equity Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",493
"Home Equity Loan, Auto Loan, Payday Loan, Student Loan, Student Loan, Mortgage Loan, Mortgage Loan, and Auto Loan",603
"Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, and Home Equity Loan",437
"Payday Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Personal Loan",723
"Not Specified, Credit-Builder Loan, Student Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",142
"Personal Loan, Auto Loan, Student Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",724
"Payday Loan, Auto Loan, and Payday Loan",518
"Personal Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Student Loan",485
"Personal Loan, Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Payday Loan",544
"Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, and Credit-Builder Loan",350
"Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",866
"Home Equity Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",350
"Credit-Builder Loan, Personal Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Personal Loan",887
"Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",989
"Home Equity Loan, Not Specified, Personal Loan, Not Specified, and Personal Loan",399
"Personal Loan, Auto Loan, Payday Loan, and Credit-Builder Loan",933
"Debt Consolidation Loan, Payday Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",108
"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, and Auto Loan",823
"Not Specified, Not Specified, Payday Loan, Student Loan, Mortgage Loan, and Student Loan",146
"Credit-Builder Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, and Student Loan",949
"Credit-Builder Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, Not Specified, and Not Specified",471
"Auto Loan, Payday Loan, Debt Consolidation Loan, and Debt Consolidation Loan",194
"Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, and Student Loan",227
"Payday Loan, Student Loan, Not Specified, and Not Specified",707
"Not Specified, Home Equity Loan, Personal Loan, Student Loan, and Personal Loan",411
"Home Equity Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Payday Loan, and Not Specified",365
"Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Personal Loan, Mortgage Loan, and Credit-Builder Loan",956
"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",865
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",247
"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Student Loan",319
"Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",701
"Payday Loan, Personal Loan, Payday Loan, Home Equity Loan, Home Equity Loan, Auto Loan, and Student Loan",329
"Auto Loan, Credit-Builder Loan, Mortgage Loan, and Auto Loan",482
"Personal Loan, Auto Loan, and Student Loan",608
"Student Loan, Payday Loan, Personal Loan, Debt Consolidation Loan, and Credit-Builder Loan",470
"Student Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Personal Loan, Student Loan, and Payday Loan",116
"Student Loan, Debt Consolidation Loan, and Personal Loan",401
"Home Equity Loan, Personal Loan, and Auto Loan",996
"Student Loan, Auto Loan, Not Specified, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",503
"Personal Loan, Mortgage Loan, Mortgage Loan, and Not Specified",496
"Personal Loan, Credit-Builder Loan, Auto Loan, and Credit-Builder Loan",459
"Debt Consolidation Loan, Mortgage Loan, Payday Loan, Not Specified, Personal Loan, Student Loan, and Not Specified",369
"Not Specified, Home Equity Loan, Payday Loan, Student Loan, Payday Loan, Mortgage Loan, and Student Loan",157
"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",567
"Student Loan, Auto Loan, Debt Consolidation Loan, Personal Loan, Student Loan, Home Equity Loan, and Mortgage Loan",387
"Debt Consolidation Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",506
"Payday Loan, Not Specified, Debt Consolidation Loan, and Payday Loan",447
"Not Specified, Home Equity Loan, and Credit-Builder Loan",233
"Not Specified, Not Specified, Debt Consolidation Loan, and Mortgage Loan",651
"Payday Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan, and Payday Loan",207
"Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Student Loan",595
"Home Equity Loan, Home Equity Loan, Auto Loan, Payday Loan, and Mortgage Loan",502
"Personal Loan, Payday Loan, and Student Loan",973
"Debt Consolidation Loan, Not Specified, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, and Home Equity Loan",227
"Debt Consolidation Loan, Home Equity Loan, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",470
"Not Specified, Personal Loan, Home Equity Loan, Payday Loan, Auto Loan, Student Loan, Payday Loan, and Credit-Builder Loan",118
"Payday Loan, Mortgage Loan, Home Equity Loan, Auto Loan, Student Loan, Not Specified, and Credit-Builder Loan",979
"Credit-Builder Loan, Payday Loan, Mortgage Loan, and Not Specified",754
"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, and Auto Loan",813
"Credit-Builder Loan, Student Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, and Student Loan",961
"Debt Consolidation Loan, Student Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",687
"Debt Consolidation Loan, Personal Loan, and Home Equity Loan",327
"Personal Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",691
"Mortgage Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",963
"Student Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, Not Specified, Credit-Builder Loan, Mortgage Loan, and Auto Loan",681
"Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",937
"Auto Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",127
"Personal Loan, Debt Consolidation Loan, Payday Loan, and Credit-Builder Loan",791
"Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, Not Specified, Student Loan, and Payday Loan",550
"Auto Loan, Not Specified, Mortgage Loan, Student Loan, and Auto Loan",605
"Credit-Builder Loan, Home Equity Loan, Not Specified, and Payday Loan",527
"Credit-Builder Loan, Student Loan, Home Equity Loan, and Auto Loan",132
"Personal Loan, Auto Loan, Home Equity Loan, Personal Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",631
"Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",816
"Not Specified, Student Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",804
"Not Specified, Home Equity Loan, Auto Loan, Mortgage Loan, Student Loan, Not Specified, and Student Loan",979
"Debt Consolidation Loan, Not Specified, Mortgage Loan, and Debt Consolidation Loan",598
"Payday Loan, Personal Loan, Home Equity Loan, Student Loan, Student Loan, Auto Loan, and Credit-Builder Loan",275
"Not Specified, Payday Loan, Not Specified, and Not Specified",262
"Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Home Equity Loan",765
"Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",431
"Student Loan, Not Specified, Student Loan, Debt Consolidation Loan, and Personal Loan",928
"Personal Loan, Personal Loan, Not Specified, Payday Loan, and Payday Loan",624
"Not Specified, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",207
"Student Loan, Not Specified, Auto Loan, Home Equity Loan, Not Specified, Auto Loan, Payday Loan, and Payday Loan",906
"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, and Personal Loan",828
"Student Loan, Student Loan, Not Specified, and Credit-Builder Loan",743
"Student Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, Not Specified, and Not Specified",218
"Home Equity Loan, Home Equity Loan, Not Specified, Mortgage Loan, Student Loan, Student Loan, and Mortgage Loan",731
"Credit-Builder Loan, Mortgage Loan, Payday Loan, Student Loan, Student Loan, and Not Specified",395
"Not Specified, Payday Loan, Credit-Builder Loan, and Mortgage Loan",327
"Auto Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",291
"Auto Loan, Payday Loan, Debt Consolidation Loan, and Student Loan",645
"Not Specified, Payday Loan, Home Equity Loan, and Mortgage Loan",550
"Payday Loan, Not Specified, Payday Loan, Personal Loan, Mortgage Loan, and Mortgage Loan",944
"Mortgage Loan, Personal Loan, and Payday Loan",558
"Auto Loan, Personal Loan, Personal Loan, and Payday Loan",367
"Mortgage Loan, Mortgage Loan, Not Specified, Mortgage Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Payday Loan",335
"Student Loan, Payday Loan, Debt Consolidation Loan, Not Specified, and Payday Loan",650
"Mortgage Loan, Debt Consolidation Loan, Not Specified, Auto Loan, Personal Loan, Student Loan, Debt Consolidation Loan, Personal Loan, and Not Specified",749
"Mortgage Loan, Mortgage Loan, Auto Loan, and Payday Loan",957
"Student Loan, Payday Loan, Not Specified, Payday Loan, and Payday Loan",394
"Not Specified, Student Loan, Not Specified, and Credit-Builder Loan",887
"Mortgage Loan, Personal Loan, Credit-Builder Loan, Payday Loan, Not Specified, Auto Loan, and Personal Loan",406
"Debt Consolidation Loan, Mortgage Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",490
"Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, and Not Specified",664
"Home Equity Loan, Payday Loan, Not Specified, and Credit-Builder Loan",756
"Credit-Builder Loan, Payday Loan, Student Loan, and Home Equity Loan",462
"Student Loan, Not Specified, Student Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",533
"Mortgage Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",903
"Auto Loan, Auto Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, and Personal Loan",137
"Student Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Debt Consolidation Loan",114
"Payday Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, and Credit-Builder Loan",812
"Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Payday Loan, Auto Loan, Auto Loan, and Credit-Builder Loan",874
"Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",203
"Payday Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Student Loan, Mortgage Loan, Payday Loan, and Not Specified",975
"Auto Loan, Debt Consolidation Loan, and Auto Loan",698
"Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",184
"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Personal Loan, Auto Loan, Home Equity Loan, Auto Loan, and Personal Loan",192
"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, Credit-Builder Loan, and Payday Loan",954
"Payday Loan, Debt Consolidation Loan, Not Specified, Student Loan, Personal Loan, Credit-Builder Loan, Personal Loan, and Not Specified",998
"Student Loan, Not Specified, and Mortgage Loan",771
"Student Loan, Personal Loan, and Not Specified",783
"Auto Loan, Student Loan, Auto Loan, Auto Loan, Home Equity Loan, Personal Loan, Not Specified, Payday Loan, and Credit-Builder Loan",712
"Mortgage Loan, Home Equity Loan, Auto Loan, Not Specified, and Payday Loan",505
"Personal Loan, Debt Consolidation Loan, Personal Loan, Student Loan, Auto Loan, and Not Specified",415
"Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Auto Loan, and Student Loan",396
"Auto Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",422
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",583
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",401
"Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Personal Loan, and Payday Loan",270
"Personal Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Personal Loan, and Student Loan",681
"Home Equity Loan, Personal Loan, Debt Consolidation Loan, and Not Specified",321
"Payday Loan, Student Loan, Mortgage Loan, and Student Loan",983
"Personal Loan, Student Loan, Personal Loan, Payday Loan, and Home Equity Loan",327
"Home Equity Loan, Mortgage Loan, Personal Loan, and Debt Consolidation Loan",411
"Debt Consolidation Loan, Auto Loan, and Student Loan",708
"Auto Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Personal Loan, and Credit-Builder Loan",550
"Personal Loan, Not Specified, Home Equity Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Credit-Builder Loan",326
"Not Specified, Mortgage Loan, Personal Loan, and Auto Loan",587
"Mortgage Loan, Payday Loan, Student Loan, Payday Loan, and Personal Loan",359
"Home Equity Loan, Student Loan, Payday Loan, and Credit-Builder Loan",604
"Credit-Builder Loan, Mortgage Loan, and Mortgage Loan",952
"Home Equity Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",861
"Student Loan, Auto Loan, Not Specified, Debt Consolidation Loan, Not Specified, and Credit-Builder Loan",165
"Student Loan, Auto Loan, Debt Consolidation Loan, Not Specified, Student Loan, Personal Loan, and Personal Loan",505
"Auto Loan, Not Specified, Debt Consolidation Loan, and Credit-Builder Loan",742
"Debt Consolidation Loan, Not Specified, Student Loan, and Debt Consolidation Loan",572
"Not Specified, Personal Loan, Not Specified, Not Specified, Payday Loan, and Credit-Builder Loan",593
"Student Loan, Payday Loan, Not Specified, Credit-Builder Loan, and Payday Loan",785
"Home Equity Loan, Debt Consolidation Loan, and Debt Consolidation Loan",764
"Auto Loan, Debt Consolidation Loan, Auto Loan, and Home Equity Loan",530
"Payday Loan, Student Loan, Auto Loan, and Not Specified",137
"Mortgage Loan, Debt Consolidation Loan, Student Loan, Student Loan, Mortgage Loan, Payday Loan, Payday Loan, and Not Specified",309
